OLD_ADDR,longitude,latitude,SBWY_ROUT_LN,SBWY_STNS_NM,ROAD_NM_ADDR,TELNO
서울특별시 중구 남대문로5가 73-6 서울역(1호선),126.97254323694754,37.55702928798156,1호선,서울,서울특별시 중구 세종대로 지하2(남대문로 5가),02-6110-1331
서울특별시 중구 정동 5-5 시청역(1호선),126.97697862382535,37.56569908690188,1호선,시청,서울특별시 중구 세종대로 지하101(정동),02-6110-1321
서울특별시 종로구 종로1가 54 종각역(1호선),126.98199830931809,37.57022447270949,1호선,종각,서울특별시 종로구 종로 지하55(종로1가),02-6110-1311
서울특별시 종로구 종로3가 10-5 종로3가역(1호선),126.99111734324396,37.57051691866718,1호선,종로3가,서울특별시 종로구 종로 지하129(종로3가),02-6110-1301
서울특별시 종로구 종로5가 82-1 종로5가역(1호선),127.00169910366651,37.57112301607899,1호선,종로5가,서울특별시 종로구 종로 지하216(종로5가),02-6110-1291
서울특별시 종로구 창신동 492-1 동대문역(1호선),127.01124015955442,37.57178268570766,1호선,동대문,서울특별시 종로구 종로 지하302(창신동),02-6110-1281
서울특별시 동대문구 신설동 76-5 신설동역(1호선),127.02596646535295,37.576458754585715,1호선,신설동,서울특별시 동대문구 왕산로 지하1(신설동),02-6110-1261
서울특별시 동대문구 제기동 65 제기동역(1호선),127.04073554717593,37.57884778505583,1호선,제기동,서울특별시 동대문구 왕산로 지하93(제기동),02-6110-1251
서울특별시 동대문구 전농동 620-69 청량리역(1호선),127.0459491452024,37.57981456093725,1호선,청량리(서울시립대입구),서울특별시 동대문구 왕산로 지하205(전농동),02-6110-1241
서울특별시 종로구 숭인동 117 동묘앞역(1호선),127.01714657067426,37.57359173882301,1호선,동묘앞,서울특별시 종로구 종로 359(숭인동),02-6110-1271
서울특별시 중구 서소문동 90-1 시청역(2호선),126.97551892135382,37.5635628727694,2호선,시청,서울특별시 중구 서소문로 지하127(서소문동),02-6110-2011
서울특별시 중구 을지로1가 100-1 을지로입구역(2호선),126.98203655020706,37.566049006795595,2호선,을지로입구,서울특별시 중구 을지로 지하42(을지로1가),02-6110-2021
서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),126.99022564320325,37.56621019286939,2호선,을지로3가,서울특별시 중구 을지로 지하106(을지로3가),02-6110-2031
서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),126.99654329367644,37.56652833822377,2호선,을지로4가,서울특별시 중구 을지로 지하178(을지로4가),02-6110-2041
서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),127.0091431763642,37.565720149477436,2호선,동대문역사문화공원(DDP),서울특별시 중구 을지로 지하279(을지로7가),02-6110-2051
서울특별시 중구 신당동 99 신당역(2호선),127.01666489338176,37.56532457661295,2호선,신당,서울특별시 중구 퇴계로 지하431-1(신당동),02-6110-2061
서울특별시 성동구 하왕십리동 946-14 상왕십리역(2호선),127.02979849026428,37.56395875706231,2호선,상왕십리,서울특별시 성동구 왕십리로 지하374(하왕십리동),02-6110-2071
서울특별시 성동구 행당동 192 왕십리역(2호선),127.03714332055517,37.562613763158836,2호선,왕십리(성동구청),서울특별시 성동구 왕십리로 지하300(행당동),02-6110-2081
서울특별시 성동구 행당동 산17 한양대역(2호선),127.0424897521126,37.558425517748546,2호선,한양대,서울특별시 성동구 왕십리로 206(행당동),02-6110-2091
서울특별시 성동구 성수동2가 300-1 성수역(2호선),127.05697499996353,37.5446676579983,2호선,성수,서울특별시 성동구 아차산로 100(성수동2가),02-6110-2111
서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),127.06900569903979,37.540810120399165,2호선,건대입구,서울특별시 광진구 아차산로 243(화양동),02-6110-2121
서울특별시 광진구 구의동 245-24 구의역(2호선),127.09076569612053,37.53832091995129,2호선,구의(광진구청),서울특별시 광진구 아차산로 384-1(구의동),02-6110-2131
서울특별시 광진구 구의동 546-6 강변역(2호선),127.0945513653893,37.53536788529187,2호선,강변(동서울터미널),서울특별시 광진구 강변역로 53(구의동),02-6110-2141
서울특별시 송파구 신천동 15 잠실나루역(2호선),127.10489876358551,37.51860475458906,2호선,잠실나루,서울특별시 송파구 오금로 20(신천동),02-6110-2151
서울특별시 송파구 신천동 8 잠실역(2호선),127.10213953457507,37.514055707469424,2호선,잠실(송파구청),서울특별시 송파구 올림픽로 지하265(신천동),02-6110-2161
서울특별시 송파구 잠실동 33 잠실새내역(2호선),127.09053465298614,37.5115977360373,2호선,잠실새내,서울특별시 송파구 올림픽로 지하140(잠실동),02-6110-2171
서울특별시 송파구 잠실동 122 종합운동장역(2호선),127.07431642424432,37.51111104682337,2호선,종합운동장,서울특별시 송파구 올림픽로 지하23(잠실동),02-6110-2181
서울특별시 강남구 삼성동 172-66 삼성역(2호선),127.05804519956439,37.50741516222575,2호선,삼성(무역센터),서울특별시 강남구 테헤란로 지하538(삼성동),02-6110-2191
서울특별시 강남구 삼성동 172-66 선릉역(2호선),127.05804519956439,37.50741516222575,2호선,선릉,서울특별시 강남구 테헤란로 지하340(삼성동),02-6110-2201
서울특별시 강남구 역삼동 804 역삼역(2호선),127.03826825217584,37.50124661553012,2호선,역삼,서울특별시 강남구 테헤란로 지하156(역삼동),02-6110-2211
서울특별시 강남구 역삼동 858 강남역(2호선),127.02825466705154,37.49690083197402,2호선,강남,서울특별시 강남구 강남대로 지하396(역삼동),02-6110-2221
서울특별시 서초구 서초동 1748-4 교대역(2호선),127.01732110864319,37.494869355779116,2호선,"교대(법원, 검찰청)",서울특별시 서초구 서초대로 지하294(서초동),02-6110-2231
서울특별시 서초구 서초동 1748-5 서초역(2호선),127.01056934732614,37.492795048568965,2호선,서초,서울특별시 서초구 서초대로 지하233(서초동),02-6110-2241
서울특별시 서초구 방배동 912-14 방배역(2호선),126.99734057563953,37.481340458496646,2호선,방배,서울특별시 서초구 방배로 지하80(방배동),02-6110-2251
서울특별시 동작구 사당동 1129 사당역(2호선),126.97338828084669,37.47611362661153,2호선,사당,서울특별시 동작구 남부순환로 지하2089(사당동),02-6110-2261
서울특별시 관악구 봉천동 1693-39 낙성대역(2호선),126.96461024920026,37.47666206007821,2호선,낙성대(강감찬),서울특별시 관악구 남부순환로 지하1928(봉천동),02-6110-2271
서울특별시 관악구 봉천동 979-2 서울대입구역(2호선),126.95259553211233,37.480922797330024,2호선,서울대입구(관악구청),서울특별시 관악구 남부순환로 지하1822(봉천동),02-6110-2281
서울특별시 관악구 신림동 1467-10 신림역(2호선),126.92964508188507,37.484659268305165,2호선,신림,서울특별시 관악구 남부순환로 지하1614(신림동),02-6110-2301
서울특별시 동작구 신대방동 643-1 신대방역(2호선),126.91287649097016,37.48750928777851,2호선,신대방,서울특별시 동작구 대림로 2(신대방동),02-6110-2311
서울특별시 구로구 구로동 810-3 구로디지털단지역(2호선),126.9008626048798,37.48544601545602,2호선,구로디지털단지,서울특별시 구로구 도림천로 477(구로동),02-6110-2321
서울특별시 구로구 구로동 1204 대림역(2호선),126.89480007937897,37.49336321842789,2호선,대림(구로구청),서울특별시 구로구 도림천로 351(구로동),02-6110-2331
서울특별시 구로구 신도림동 460-26 신도림역(2호선),126.89107234320724,37.508723230890546,2호선,신도림,서울특별시 구로구 새말로 지하 117-21(신도림동),02-6110-2341
서울특별시 영등포구 문래동3가 68-1 문래역(2호선),126.894728286571,37.5178620328131,2호선,문래,서울특별시 영등포구 당산로 지하28(문래동3가),02-6110-2351
서울특별시 영등포구 당산동3가 270-1 영등포구청역(2호선),126.89651107576128,37.52534872675051,2호선,영등포구청,서울특별시 영등포구 당산로 지하121(당산동3가),02-6110-2361
서울특별시 영등포구 당산동 6가 323-1 당산역(2호선),126.90614394405928,37.53255283863791,2호선,당산,서울특별시 영등포구 당산로 229(당산동6가),02-6110-2371
서울특별시 마포구 서교동 393 합정역(2호선),126.9151830497851,37.551029103629716,2호선,합정,서울특별시 마포구 양화로 지하55(서교동),02-6110-2381
서울특별시 마포구 동교동 165 홍대입구역(2호선),126.92415848619729,37.55675374373833,2호선,홍대입구,서울특별시 마포구 양화로 지하160(동교동),02-6110-2391
서울특별시 마포구 노고산동 31-11 신촌역(2호선),126.93750975017635,37.55468232763202,2호선,신촌(지하),서울특별시 마포구 신촌로 지하90(노고산동),02-6110-2401
서울특별시 마포구 염리동 8-85 이대역(2호선),126.94778839962228,37.55685481012151,2호선,이대,서울특별시 마포구 신촌로 지하180(염리동),02-6110-2411
서울특별시 마포구 아현동 354-23 아현역(2호선),126.95567165564654,37.555937236104,2호선,아현,서울특별시 마포구 신촌로 지하270(아현동),02-6110-2421
서울특별시 서대문구 충정로3가 319-1 충정로역(2호선),126.96385039699553,37.5595361388535,2호선,충정로(경기대입구),서울특별시 서대문구 서소문로 지하17(충정로3가),02-6110-2431
서울특별시 성동구 용답동 127 용답역(2호선),127.05445516828708,37.565436455516405,2호선,용답,서울특별시 성동구 용답길 86(용답동),02-6110-1341
서울특별시 성동구 용답동 129-2 신답역(2호선),127.04591835365173,37.570561292001166,2호선,신답,서울특별시 성동구 천호대로 232(용답동),02-6110-1351
서울특별시 동대문구 신설동 76-5 신설동역(2호선),127.02596646535295,37.576458754585715,2호선,신설동,서울특별시 동대문구 왕산로 지하 1(신설동),02-6110-1371
