,YEAR_MONTH_,SUM_seoul_sick,SUM_seoul_dead,SUM_korea_sick,SUM_korea_dead
0,20-02,0.0,0.0,0.0,0.0
1,20-03,0.0,0.0,0.0,0.0
2,20-04,7.0,0.0,82.0,0.0
3,20-05,228.0,0.0,709.0,0.0
4,20-06,451.0,0.0,1335.0,0.0
5,20-07,288.0,0.0,1530.0,0.0
6,20-08,2267.0,0.0,5642.0,0.0
7,20-09,1424.0,0.0,3865.0,0.0
8,20-10,719.0,0.0,2713.0,0.0
9,20-11,2802.0,0.0,7769.0,0.0
10,20-12,10209.0,0.0,26554.0,0.0
11,21-01,5168.0,0.0,17500.0,0.0
12,21-02,4083.0,0.0,11493.0,0.0
13,21-03,3803.0,0.0,13430.0,0.0
14,21-04,5811.0,0.0,18938.0,0.0
15,21-05,6080.0,0.0,18343.0,0.0
16,21-06,6075.0,0.0,16626.0,0.0
17,21-07,14377.0,0.0,41401.0,0.0
18,21-08,15019.0,0.0,53121.0,0.0
19,21-09,21148.0,0.0,59899.0,0.0
20,21-10,19123.0,0.0,53449.0,0.0
21,21-11,34711.0,0.0,82566.0,0.0
22,21-12,70977.0,0.0,183680.0,0.0
23,22-01,52140.0,0.0,215009.0,0.0
24,22-02,498842.0,36.0,2288947.0,0.0
25,22-03,1983383.0,1158.0,9962387.0,5343.0
26,22-04,722562.0,1019.0,4143305.0,6564.0
27,22-05,135270.0,239.0,860022.0,1382.0
28,22-06,49289.0,64.0,256037.0,371.0
29,22-07,312023.0,80.0,1417511.0,500.0
30,22-08,583610.0,259.0,3472043.0,1717.0
31,22-09,270218.0,258.0,1523764.0,1642.0
32,22-10,159869.0,117.0,789036.0,771.0
33,22-11,306653.0,205.0,1541960.0,1332.0
34,22-12,366337.0,255.0,1961255.0,1650.0
35,23-01,201493.0,197.0,1110809.0,1293.0
36,23-02,60021.0,85.0,338397.0,538.0
37,23-03,62479.0,38.0,299294.0,283.0
38,23-04,89355.0,41.0,354103.0,215.0
39,23-05,126411.0,69.0,528768.0,305.0
